timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:53:58.0,100.00 %,430.49 W,13.10 %,37.53 W,NVIDIA RTX A6000,1,34.17 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:58.0,100.00 %,430.49 W,13.10 %,37.53 W,NVIDIA RTX A6000,2,9.67 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:58.0,100.00 %,430.49 W,13.10 %,37.53 W,NVIDIA RTX A6000,3,8.60 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:54:03.0,100.00 %,431.79 W,13.10 %,29.70 W,NVIDIA RTX A6000,0,54.74 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:54:03.0,100.00 %,431.79 W,13.10 %,29.70 W,NVIDIA RTX A6000,1,34.15 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:54:03.0,100.00 %,431.79 W,13.10 %,29.70 W,NVIDIA RTX A6000,2,9.07 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:54:03.0,100.00 %,431.79 W,13.10 %,29.70 W,NVIDIA RTX A6000,3,8.86 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:54:08.0,100.00 %,446.37 W,13.10 %,36.88 W,NVIDIA RTX A6000,0,54.62 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:54:08.0,100.00 %,446.37 W,13.10 %,36.88 W,NVIDIA RTX A6000,1,34.17 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:54:08.0,100.00 %,446.37 W,13.10 %,36.88 W,NVIDIA RTX A6000,2,9.59 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:54:08.0,100.00 %,446.37 W,13.10 %,36.88 W,NVIDIA RTX A6000,3,8.89 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:54:13.1,99.70 %,478.20 W,13.10 %,30.13 W,NVIDIA RTX A6000,0,54.59 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:54:13.1,99.70 %,478.20 W,13.10 %,30.13 W,NVIDIA RTX A6000,1,33.94 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:54:13.1,99.70 %,478.20 W,13.10 %,30.13 W,NVIDIA RTX A6000,2,8.64 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:54:13.1,99.70 %,478.20 W,13.10 %,30.13 W,NVIDIA RTX A6000,3,8.11 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:54:18.1,100.00 %,608.61 W,13.10 %,35.50 W,NVIDIA RTX A6000,0,54.61 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
